,"2,797,681","5,754,582","1,767,141","152,000,722","2,352,755","107,664,370","1,299,703","2,742,795","746,156","4,386,641","628,925","9,958,821","383,934","5,372,937","22,212","-137,645","72,248","216,851","26,317","374,856","1,029,713","97,904,430","20,253,282","873,069","88,322,814","3,116,347","1,030,787","96,938,473","5,454,422","33,366","135,053","2,267,901","19,675,617","2,164,862","19,623,933","350,151","562,770","1,381,302"
"$10,000 under $25,000",60,118,46,"1,052",44,789,20,10,18,2,*         ,*              ,*         ,*              ,--        ,--             ,*         ,*              ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,49,39,43,45,25,53,26
"$25,000 under $50,000",77,172,63,"2,917",71,"2,417",21,13,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,30,"1,097",394,13,448,7,30,"1,094",111,--        ,--             ,76,216,66,181,*         ,*              ,51
"$50,000 under $75,000",65,216,98,"3,986",64,"3,578",27,5,21,4,23,0,11,116,--        ,--             ,--        ,--             ,--        ,--             ,35,"2,144",543,28,"1,743",58,35,"2,144",123,--        ,--             ,65,351,60,286,--        ,--             ,35
"$75,000 under $100,000",32,98,35,"2,768",31,"2,507",18,9,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,20,"1,757",408,19,"1,663",45,20,"1,757",90,--        ,--             ,32,287,32,291,--        ,--             ,30
"$100,000 or more     ",15,54,24,"2,064",15,"1,527",11,4,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,12,"1,713",266,11,"1,599",52,12,"1,713",81,--        ,--             ,15,303,15,297,--        ,--             ,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98324,419,746,120,"20,952",236,"7,325",266,688,154,677,128,"2,482",69,426,--        ,--             ,*         ,*              ,*         ,*              ,140,"9,769","2,434",113,"8,490",272,139,"9,651",659,*         ,*              ,326,"2,633",333,"2,660",40,47,253
"Under $10,000        ",80,101,6,341,38,217,36,18,20,20,13,-7,18,76,--        ,--             ,--        ,--             ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,15,2,28,13,22,9,50
"$10,000 under $25,000",94,160,36,"1,682",55,857,49,63,25,69,10,33,11,130,--        ,--             ,*         ,*              ,--        ,--             ,28,421,446,20,311,20,29,415,61,--        ,--             ,67,51,65,64,18,38,51
"$25,000 under $50,000",119,207,30,"4,342",65,"1,862",79,308,42,143,40,68,27,150,--        ,--             ,*         ,*              ,--        ,--             ,33,"1,176",469,24,835,40,32,"1,144",113,--        ,--             ,119,320,115,330,*         ,*              ,67
"$50,000 under $75,000",58,124,19,"3,568",36,"1,622",45,113,39,122,31,206,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,34,"2,051",548,29,"1,769",50,34,"2,051",139,--        ,--             ,57,326,57,321,--        ,--             ,37
"$75,000 under $100,000",25,52,6,"2,132",15,764,21,60,*         ,*              ,*         ,*              ,13,70,--        ,--             ,--        ,--             ,--        ,--             ,16,"1,374",322,14,"1,186",74,15,"1,294",115,--        ,--             ,25,222,25,243,--        ,--             ,17
"$100,000 or more     ",43,102,23,"8,887",27,"2,003",36,126,28,323,34,"2,182",*         ,*              ,--        ,--             ,--        ,--             ,*         ,*              ,29,"4,747",649,26,"4,389",88,29,"4,747",231,*         ,*              ,43,"1,712",43,"1,689",--        ,--             ,31
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98325,924,"1,892",510,"35,133",683,"22,934",464,579,241,616,176,890,189,"1,654",30,-145,33,86,--        ,--             ,273,"16,790","4,388",213,"13,705",426,278,"16,772","1,060",*         ,*              ,699,"3,321",698,"3,252",128,194,476
"Under $10,000        ",191,264,42,780,127,723,71,47,35,68,25,-18,42,119,13,-5,*         ,*              ,--        ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,10,10,17,--        ,--             ,39,7,71,38,58,55,89
"$10,000 under $25,000",227,390,87,"3,859",143,"2,195",105,131,53,116,25,42,44,417,*         ,*              ,*         ,*              ,--        ,--             ,47,781,586,27,447,59,42,753,115,--        ,--             ,161,119,161,172,49,123,117
"$25,000 under $50,000",266,597,176,"9,711",208,"6,747",128,167,63,158,57,-7,50,538,17,-140,17,32,--        ,--             ,86,"3,155","1,352",65,"2,422",119,86,"3,155",260,--        ,--             ,259,641,230,630,21,16,135
"$50,000 under $75,000",132,345,114,"8,188",116,"6,137",78,90,40,92,30,189,28,322,*         ,*              ,16,54,--        ,--             ,69,"4,256","1,028",58,"3,580",73,69,"4,256",252,--        ,--             ,132,759,128,710,--        ,--             ,73
"$75,000 under $100,000",59,176,63,"5,082",53,"4,228",39,30,22,11,13,99,14,188,*         ,*              ,*         ,*              ,--        ,--             ,37,"3,258",710,32,"2,842",64,37,"3,258",175,--        ,--             ,59,530,59,530,--        ,--             ,29
"$100,000 or more     ",49,120,28,"7,513",36,"2,904",43,114,28,171,26,585,11,70,*         ,*              ,*         ,*              ,--        ,--             ,34,"5,340",712,31,"4,414",111,34,"5,340",241,*         ,*              ,49,"1,265",49,"1,172",--        ,--             ,33
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98326,274,547,173,"8,526",232,"6,364",87,95,28,41,26,4,28,112,*         ,*              ,*         ,*              ,--        ,--             ,32,"1,920",412,20,"1,235",36,32,"1,734",105,--        ,--             ,192,751,188,717,47,79,115
"Under $10,000        ",78,121,36,385,62,279,*         ,*              ,*         ,*              ,*         ,*              ,13,93,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,*         ,*              ,*              ,*         ,*              ,*              ,--        ,--             ,13,2,18,8,31,40,24
"$10,000 under $25,000",56,99,26,927,44,644,24,8,*         ,*              ,*         ,*              ,*         ,*              ,--        ,--             ,--        ,--             ,--        ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,--             ,--        ,--             ,39,31,41,40,16,39,25
"$25,000 under $50,000",88,186,64,"3,237",77,"2,678",30,65,18,37,14,3,15,19,--        ,--             ,*         ,*              ,--        ,--             ,13,479,126,*         ,*              ,*              ,14,488,36,--        ,--             ,88,257,79,234,*         ,*              ,37
