Total,"2,860,825","5,865,799","1,794,371","166,580,039","2,412,365","114,046,697","1,368,475","3,528,026","748,124","3,862,773","651,545","14,886,748","403,776","5,996,877","23,232","-157,511","73,677","264,541","27,138","415,068","1,067,582","109,369,624","22,529,755","899,373","98,569,012","3,435,488","1,063,234","107,890,387","5,925,136","47,972","187,582","2,337,779","22,076,820","2,234,434","22,075,876","346,390","585,289","1,422,842"
"$10,000 under $25,000","2,152","3,221",781,"37,354","1,705","28,821",730,"1,145",402,779,336,351,269,"1,780",0,0,46,131,*         ,*              ,349,"6,296","5,198",258,"4,706",432,336,"6,082",994,0,0,"1,760","1,576","1,637","1,735",331,734,915
"$25,000 under $50,000","3,234","5,533","1,513","118,335","2,861","99,539","1,299","1,540",638,"1,254",515,838,348,"3,240",*         ,*              ,99,319,27,128,"1,095","42,370","16,410",874,"33,880","1,594","1,072","41,528","3,971",0,0,"3,155","9,426","2,922","9,091",159,143,"1,335"
"$50,000 under $75,000","2,130","4,511","1,292","131,292","1,933","109,042","1,317","1,486",747,"1,379",593,"1,425",342,"3,467",*         ,*              ,77,244,*         ,*              ,"1,372","85,391","24,020","1,165","72,740","2,637","1,351","84,110","5,991",0,0,"2,119","13,085","2,072","12,664",0,0,911
"$75,000 under $100,000","1,568","4,141","1,400","135,983","1,460","115,808","1,191","1,498",770,"1,440",608,"1,892",287,"3,585",0,0,68,230,28,248,"1,237","107,639","25,713","1,106","96,374","3,107","1,232","107,230","6,497",14,16,"1,563","14,836","1,553","14,338",0,0,622
"$100,000 or more     ","2,217","6,508","2,338","436,045","2,082","272,388","1,894","4,864","1,401","6,286","1,206","49,438",422,"14,483",0,0,102,468,85,"1,496","1,935","376,226","50,936","1,805","356,462","9,110","1,927","375,217","15,050",221,679,"2,216","81,874","2,216","82,675",0,0,"1,007"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98012,"21,824","46,349","14,284","1,433,734","19,152","1,126,095","11,706","19,290","6,653","20,169","5,724","70,170","3,247","55,066",17,1,607,"2,195",220,"3,398","10,660","1,047,819","227,727","9,068","940,297","28,530","10,616","1,034,203","58,784",402,"1,513","18,856","186,885","18,476","187,216","1,367","2,110","9,783"
"Under $10,000        ","2,949","3,639",439,"2,991","2,286","12,721",910,871,574,654,503,333,333,-236,0,0,*         ,*              ,*         ,*              ,149,809,"2,685",88,509,104,224,"-5,653",840,0,0,841,138,"1,047",361,485,461,"1,107"
"$10,000 under $25,000","3,399","5,208","1,239","59,188","2,768","47,204","1,094","1,610",560,"1,002",466,470,418,"3,329",*         ,*              ,51,125,*         ,*              ,496,"9,058","8,032",325,"5,997",613,481,"8,777","1,565",0,0,"2,741","2,526","2,581","2,883",581,"1,355","1,529"
"$25,000 under $50,000","4,900","8,766","2,533","180,933","4,338","152,642","1,983","2,875",915,"1,705",739,917,597,"6,800",*         ,*              ,131,437,21,136,"1,715","66,765","27,831","1,290","50,544","2,373","1,675","65,320","6,170",0,0,"4,717","14,092","4,400","13,854",301,294,"2,133"
"$50,000 under $75,000","3,656","8,602","2,861","227,326","3,348","191,957","2,178","2,425","1,118","2,136",929,"2,444",580,"7,409",17,1,135,442,27,223,"2,392","150,429","44,164","2,001","126,142","4,528","2,360","148,363","10,713",*         ,*              ,"3,642","21,556","3,547","20,534",0,0,"1,690"
"$75,000 under $100,000","2,827","7,830","2,723","245,385","2,631","208,448","2,093","2,901","1,165","2,190",948,"3,115",530,"6,664",0,0,142,513,34,301,"2,279","198,501","47,344","1,977","172,402","5,134","2,258","196,715","12,148",26,39,"2,824","25,680","2,811","24,529",0,0,"1,213"
"$100,000 or more     ","4,093","12,304","4,489","717,911","3,781","513,123","3,448","8,608","2,321","12,482","2,139","62,891",789,"31,100",*         ,*              ,148,678,138,"2,738","3,629","622,257","97,671","3,387","584,703","15,778","3,618","620,681","27,348",376,"1,474","4,091","122,893","4,090","125,055",0,0,"2,111"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98013,224,380,79,"13,098",148,"6,458",130,183,92,490,79,"1,496",81,"1,177",0,0,0,0,0,0,90,"8,258","1,996",73,"7,067",178,90,"8,187",600,*         ,*              ,191,"1,538",205,"1,719",25,33,106
"Under $10,000        ",31,43,9,146,16,75,13,9,*         ,*              ,*         ,*              ,13,53,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,10,110,30,0,0,*         ,*              ,18,11,15,18,13
"$10,000 under $25,000",56,74,13,939,31,460,26,29,27,74,31,51,20,110,0,0,0,0,0,0,*         ,*              ,*              ,*         ,*              ,*              ,*         ,*              ,*              ,0,0,55,42,51,69,10,15,19
"$25,000 under $50,000",45,65,11,"1,692",35,"1,028",19,10,14,23,*         ,*              ,16,258,0,0,0,0,0,0,24,653,291,16,489,9,15,555,65,0,0,45,143,45,181,*         ,*              ,19
"$50,000 under $75,000",32,63,15,"2,040",26,"1,340",18,17,14,21,11,42,12,175,0,0,0,0,0,0,18,"1,145",419,14,869,19,18,"1,145",116,0,0,31,202,31,220,0,0,15
"$75,000 under $100,000",23,56,16,"2,043",12,737,21,38,14,70,14,84,10,175,0,0,0,0,0,0,19,"1,702",351,17,"1,517",48,18,"1,619",136,0,0,23,226,23,255,0,0,16
"$100,000 or more     ",37,79,15,"6,238",28,"2,818",33,80,23,302,23,"1,319",10,406,0,0,0,0,0,0,29,"4,758",935,26,"4,192",102,29,"4,758",253,*         ,*              ,37,925,37,983,0,0,24
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98014,"3,207","7,054","2,239","230,781","2,815","182,276","1,749","3,937","1,109","5,101",992,"10,027",581,"9,315",52,-350,85,340,40,641,"1,696","187,569","41,683","1,458","169,704","4,395","1,688","183,998","11,517",105,310,"2,704","31,597","2,655","31,866",208,334,"1,575"
"Under $10,000        ",506,578,46,-309,405,"2,151",145,219,85,87,69,149,55,-118,10,-185,*         ,*              ,0,0,14,76,218,*         ,*              ,*              ,27,"-2,097",121,0,0,142,22,176,53,81,69,201
"$10,000 under $25,000",460,712,169,"7,848",360,"6,045",146,215,87,203,76,61,65,654,13,64,*         ,*              ,*         ,*              ,83,"1,554","1,466",73,"1,280",100,81,"1,524",309,0,0,362,315,353,412,83,226,220
"$25,000 under $50,000",622,"1,205",380,"22,591",544,"18,314",249,388,132,276,121,132,97,"1,143",*         ,*              ,24,63,0,0,247,"9,537","4,234",175,"6,790",230,239,"9,233","1,028",*         ,*              ,588,"1,612",536,"1,647",44,39,320
"$50,000 under $75,000",498,"1,209",409,"31,127",459,"25,770",306,328,163,349,131,392,109,"1,379",14,-42,21,78,17,122,349,"22,144","6,634",299,"19,088",541,344,"21,817","1,833",0,0,495,"2,837",479,"2,796",0,0,247
"$75,000 under $100,000",403,"1,171",429,"35,217",381,"30,224",283,281,180,452,155,240,100,"1,011",*         ,*              ,13,47,*         ,*              ,336,"29,567","7,465",295,"25,987",625,332,"29,205","1,961",*         ,*              ,402,"3,528",398,"3,352",0,0,200
"$100,000 or more     ",718,"2,179",806,"134,307",666,"99,772",620,"2,506",462,"3,734",440,"9,053",155,"5,246",15,-187,27,152,23,519,667,"124,691","21,666",616,"116,559","2,899",665,"124,316","6,265",105,310,715,"23,283",713,"23,606",0,0,387
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98015,524,886,202,"45,443",429,"27,701",306,917,207,"1,443",191,"12,433",124,"2,364",0,0,23,71,*         ,*              ,243,"34,126","5,944",209,"31,461",834,250,"33,627","1,667",25,146,457,"6,584",460,"6,773",31,33,285
"Under $10,000        ",60,78,13,-145,33,248,29,155,26,27,20,733,19,48,0,0,0,0,0,0,*         ,*              ,*              ,15,190,32,16,-198,103,0,0,*         ,*              ,21,12,17,14,37
"$10,000 under $25,000",68,87,14,"1,173",51,793,23,21,13,43,14,12,17,167,0,0,0,0,0,0,21,287,357,*         ,*              ,*              ,14,244,42,0,0,66,53,54,64,14,19,36
"$25,000 under $50,000",130,185,37,"4,805",112,"4,044",51,64,29,64,18,0,26,460,0,0,13,32,*         ,*              ,40,"1,521",640,35,"1,331",49,40,"1,521",129,0,0,127,417,123,469,*         ,*              ,62
"$50,000 under $75,000",102,171,43,"6,256",89,"4,928",66,45,40,97,38,62,21,691,0,0,*         ,*              ,*         ,*              ,53,"3,288","1,105",44,"2,739",73,53,"3,288",243,0,0,101,706,99,782,0,0,60
"$75,000 under $100,000",57,122,32,"4,927",52,"4,074",41,65,24,48,21,33,16,231,0,0,*         ,*              ,0,0,39,"3,353",855,33,"2,857",68,38,"3,273",262,0,0,56,595,56,606,0,0,27
"$100,000 or more     ",107,243,63,"28,427",92,"13,614",96,567,75,"1,164",80,"11,593",25,767,0,0,10,39,*         ,*              ,90,"25,677","2,987",82,"24,344",612,89,"25,499",888,25,146,107,"4,813",107,"4,840",0,0,63
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98019,"4,609","10,636","3,523","351,689","4,142","292,569","2,640","3,253","1,652","3,532","1,372","17,148",812,"9,860",33,-408,155,657,34,380,"2,712","291,046","61,742","2,293","257,236","6,250","2,692","288,718","16,899",103,308,"3,996","47,225","3,941","46,792",264,362,"2,082"
"Under $10,000        ",599,729,92,"1,339",452,"2,572",185,185,88,150,80,-40,63,137,10,-29,0,0,0,0,37,219,664,22,126,24,46,-51,209,0,0,152,28,199,72,108,97,216
"$10,000 under $25,000",602,891,191,"10,429",470,"7,837",208,294,99,174,75,26,90,910,0,0,*         ,*              ,*         ,*              ,117,"2,119","1,935",89,"1,618",134,116,"2,092",424,0,0,478,439,462,537,96,209,285
"$25,000 under $50,000",817,"1,590",486,"30,233",735,"25,084",326,444,184,470,153,143,138,"1,400",*         ,*              ,48,193,*         ,*              ,316,"12,387","5,390",239,"9,444",452,307,"12,036","1,284",0,0,782,"2,168",723,"2,189",60,56,371
"$50,000 under $75,000",720,"1,765",617,"44,901",667,"38,409",447,548,250,342,184,222,140,"1,983",11,-82,28,111,13,91,534,"33,494","10,176",429,"27,008",833,525,"32,924","2,499",*         ,*              ,713,"4,031",687,"3,873",0,0,366
"$75,000 under $100,000",684,"1,915",669,"59,634",667,"53,932",489,417,313,357,221,716,161,"1,519",12,-297,23,106,*         ,*              ,579,"50,655","12,463",503,"44,046","1,156",574,"50,244","3,308",*         ,*              ,684,"6,082",683,"5,766",0,0,285
"$100,000 or more     ","1,187","3,746","1,468","205,153","1,151","164,735",985,"1,365",718,"2,039",659,"16,081",220,"3,911",*         ,*              ,56,247,21,289,"1,129","192,172","31,114","1,011","174,994","3,651","1,124","191,473","9,175",103,308,"1,187","34,477","1,187","34,355",0,0,559
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98020,"9,956","18,541","4,168","930,424","6,949","441,480","6,801","33,584","4,969","42,244","4,355","133,858","1,686","47,324",15,-27,350,"1,559",239,"4,279","5,008","719,983","129,108","4,509","686,562","24,479","5,023","710,860","36,641",416,"1,594","8,401","153,925","8,367","157,908",386,482,"5,461"
"Under $10,000        ","1,499","1,744",111,"-1,829",892,"5,250",673,"1,091",538,900,482,426,195,384,*         ,*              ,*         ,*              ,*         ,*              ,123,692,"2,112",85,480,84,177,"-6,397",784,0,0,394,72,509,232,178,123,708
"$10,000 under $25,000","1,578","2,086",242,"27,047",922,"14,821",849,"1,652",566,"1,433",476,339,181,"1,669",0,0,30,99,*         ,*              ,379,"6,733","6,225",293,"5,289",522,371,"6,606","1,300",0,0,"1,252","1,053","1,208","1,268",133,300,794
"$25,000 under $50,000","2,078","3,234",604,"76,480","1,490","49,454","1,201","2,883",791,"2,723",642,"1,251",309,"3,553",0,0,84,301,21,103,812,"30,914","14,296",684,"26,191","1,464",796,"30,306","3,402",*         ,*              ,"1,983","5,828","1,911","6,094",75,59,"1,045"
"$50,000 under $75,000","1,404","2,719",623,"86,734","1,037","54,488","1,063","3,041",739,"2,881",615,"2,440",222,"3,204",*         ,*              ,63,245,26,219,868,"54,203","16,884",770,"48,010","1,834",863,"53,920","4,725",0,0,"1,385","8,541","1,361","8,575",0,0,758
"$75,000 under $100,000","1,077","2,529",648,"93,151",799,"56,963",888,"3,334",607,"3,095",516,"3,327",229,"4,557",*         ,*              ,53,227,32,336,820,"71,089","18,436",755,"65,539","2,540",815,"70,673","5,047",*         ,*              ,"1,071","9,752","1,064","9,965",0,0,585
"$100,000 or more     ","2,320","6,229","1,940","648,841","1,809","260,504","2,127","21,583","1,728","31,212","1,624","126,075",550,"33,957",15,-27,120,687,160,"3,621","2,006","556,352","71,155","1,922","541,053","18,035","2,001","555,752","21,383",416,"1,594","2,316","128,679","2,314","131,774",0,0,"1,571"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          ,               ,               ,          ,               ,               ,          ,               ,               ,          ,               ,          ,               ,          ,               ,          ,               ,          
98021,"10,874","22,935","6,857","704,387","9,461","563,111","5,961","9,748","3,541","7,984","3,001","32,335","1,639","22,299",11,-16,347,"1,304",107,"1,260","5,145","498,009","107,935","4,490","452,077","13,873","5,113","493,131","28,044",188,736,"9,327","91,117","9,197","90,846",517,723,"4,575"
"Under $10,000        ","1,638","1,914",161,"5,662","1,243","6,822",548,366,337,312,309,-46,170,151,0,0,*         ,*              ,*         ,*              ,85,496,"1,203",50,288,57,117,-460,359,0,0,489,87,586,201,191,154,565
"$10,000 under $25,000","1,657","2,358",394,"28,549","1,267","20,751",603,819,317,627,259,277,198,"1,549",11,-16,39,128,*         ,*              ,269,"4,935","4,088",197,"3,680",373,259,"4,752",797,*         ,*              ,"1,347","1,230","1,301","1,414",201,455,670
"$25,000 under $50,000","2,284","3,954",986,"84,502","1,991","69,261",969,"1,365",474,"1,026",424,520,293,"2,806",*         ,*              ,70,238,14,59,773,"30,011","13,062",619,"24,121","1,154",759,"29,463","2,847",0,0,"2,211","6,617","2,079","6,551",125,114,946
